variant,fold,LV,MYO,MI_path,MI_all,MVO,params_M,n_cases
M1,0,0.9013397299233399,0.6914333444665062,0.3437116906683929,0.4672363652075,0.5260243632336655,46.579769,21
M1,1,0.9078972007550008,0.7480444125733487,0.48205602550944976,0.6070849693872521,0.46919122318766204,46.579769,21
M1,2,0.9268203136222836,0.7558572812762463,0.4454099012266463,0.5395164357973201,0.5322848266495629,46.579769,20
M1,3,0.9125664299927422,0.7499145266858732,0.4455712317963358,0.620654000702756,0.1331979382513688,46.579769,19
M1,4,0.9057855845883903,0.760434514638022,0.4870668664375359,0.5437825928256826,0.3003628120252563,46.579769,19
M2,0,0.8999495476963757,0.7188896533918969,0.3490768684043046,0.5184321979838221,0.5714285714285714,11.521529,21
M2,1,0.8999968162710388,0.7304094976599028,0.4414363361552753,0.4371480336273263,0.2857142857142857,11.521529,21
M2,2,0.91785623800148,0.7414512962499888,0.45601802632416233,0.4464117171107054,0.55,11.521529,20
M2,3,0.9143216384685285,0.7412179504849558,0.4142267307706985,0.4939446052641621,0.3157894736842105,11.521529,19
M2,4,0.9053694071170546,0.7231980285244933,0.43736831665086096,0.45714674297164176,0.05263157894736842,11.521529,19
M3,0,0.8989121981043592,0.7410888571496146,0.3949095959412647,0.3585111591989384,0.29771007166877694,16.058893,21
M3,1,0.900196579377646,0.7370111395265345,0.44439442876222107,0.4391200953652903,0.207233605146556,16.058893,21
M3,2,0.915840549658968,0.7855899811962613,0.4817759051035679,0.46315433831731917,0.35728820696441266,16.058893,20
M3,3,0.8945374874915654,0.7769955001497408,0.4283675348119352,0.34572515539763987,0.22496962344393445,16.058893,19
M3,4,0.9047654761212512,0.7769730535333096,0.4356463676558183,0.45596856734345476,0.25265750641272394,16.058893,19
M4,0,0.9038060642185196,0.7434588859566146,0.40337236394710824,0.26891490929807216,0.25374697843373156,16.058893,21
M4,1,0.8963250343522918,0.7345928890713886,0.44650302055447927,0.4405258232267956,0.23880496939794885,16.058893,21
M4,2,0.9187991110885955,0.7811928415099176,0.46765755730381636,0.30397741224748065,0.20079760414372427,16.058893,20
M4,3,0.9113894508103424,0.7724310245776124,0.44712305823170617,0.3059263030006411,0.16727876453069335,16.058893,19
M4,4,0.9088138356316526,0.7837565059713066,0.44760768388779115,0.41152104687059393,0.37699727895117885,16.058893,19
M5,0,0.9096414064846267,0.7631757337598193,0.4053001368101588,0.3654381864448678,0.4930735123515365,16.09179,21
M5,1,0.9026977474478792,0.7587089929011865,0.4154608073754679,0.3245929192026929,0.33178317703867405,16.09179,21
M5,2,0.9221065895523358,0.7875509337627332,0.4333700304786609,0.5316905198111297,0.418998151846273,16.09179,20
M5,3,0.9225889147695568,0.7962932414173572,0.4939395951665512,0.5484849861665876,0.3494288351721823,16.09179,19
M5,4,0.9053556340779428,0.7870075218592628,0.4325602236175773,0.4538569951067634,0.36227107980241474,16.09179,19
UNET,0,0.8467605727538111,0.5527294951409104,0.19056157092145662,0.2222791425190663,0.5714285714285714,19.222686,21
UNET,1,0.777527216963576,0.5686085631281932,0.15398941928860368,0.10265961285906912,0.5714285714285714,19.222686,21
UNET,2,0.8951902761680799,0.6562684281389903,0.259512059083876,0.3186828384045194,0.55,19.222686,20
UNET,3,0.8795117675584817,0.6346095349412447,0.23510679001729054,0.4766520142223568,0.5263157894736842,19.222686,19
UNET,4,0.8768492246663863,0.609220763983869,0.274902953222874,0.2933546522051243,0.631578947368421,19.222686,19
SEGRESNET,0,0.8863436045583578,0.6455105422114089,0.0,0.3333333333333333,0.5714285714285714,4.700965,21
SEGRESNET,1,0.8902030226717117,0.6608617699226585,0.24181483465840242,0.3993051278675064,0.5714285714285714,4.700965,21
SEGRESNET,2,0.9104934273935463,0.6731650968347467,0.3288551757751339,0.4137558642538369,0.6,4.700965,20
SEGRESNET,3,0.9086926385033841,0.6854291966942022,0.36986336313850343,0.5162223010947655,0.631578947368421,4.700965,19
SEGRESNET,4,0.8990000643388466,0.6305482793341977,0.34334910641361444,0.39281780965142044,0.631578947368421,4.700965,19
SWINUNETR,0,0.8737372088559994,0.6641183920810877,0.2744733225247578,0.2306012626355528,0.4867774432177243,15.703079,21
SWINUNETR,1,0.8031974037000944,0.6295672458290341,0.2062397725356532,0.1851122293094831,0.38095238095238093,15.703079,21
SWINUNETR,2,0.8179638646027815,0.6855317608727995,0.30894763271095455,0.25081596126212047,0.5509840098400984,15.703079,20
SWINUNETR,3,0.8212584720013667,0.6769083934912701,0.27276644363073566,0.2918928298526085,0.4250730994152047,15.703079,19
SWINUNETR,4,0.866551692412918,0.6786607816141847,0.3522740667311561,0.24102962460552788,0.5310645033636723,15.703079,19
DYNUNET,0,0.8873213614464801,0.5929733792028357,0.2756613678529199,0.2790123404733751,0.5714285714285714,22.572037,21
DYNUNET,1,0.8643480823438614,0.6064024759955532,0.2771389476484642,0.23237834605135704,0.5714285714285714,22.572037,21
DYNUNET,2,0.8997870086756479,0.7050278049284591,0.3479041647917439,0.27613770711463353,0.45,22.572037,20
DYNUNET,3,0.9059000332012895,0.7020959492871295,0.3721486800860842,0.4651543600588997,0.5789473684210527,22.572037,19
DYNUNET,4,0.8893447972725144,0.583533967034192,0.26552679255946876,0.23430780543542604,0.2631578947368421,22.572037,19
